number of clients;mean number of rejected;min number of rejected;max number of rejected;mean execution time;min execution time;max execution time;mean cpu usage ldf;min cpu usage ldf;max cpu usage ldf;mean cpu usage nginx;min cpu usage nginx;max cpu usage nginx;mean bandwidth ldf;min bandwidth ldf;max bandwidth ldf;mean bandwidth total;min bandwidth total;max bandwidth total;mean number of requests;min number of requests;max number of requests
150;0;0;0;69.87823156833649;57.387321592966714;79.61261821269989;3.26875;0.0;9.2;25.089999999999996;25.06875;25.125;2.14289841;0.0;9.07453;2472.63;2066.28;2780.09;3247969;2714552;3649537
155;0;0;0;83.90873672516115;58.743607962516045;116.03986418016495;25.33125;2.75625;42.63125;25.05875;24.975;25.09375;150.773042;2.90224;412.389;2351.666;2019.75;2737.46;3089946;2654151;3596819
160;0;0;0;69.42274042099714;63.77985027134419;76.08057032823562;3.31875;0.0;9.96875;25.10125;25.08125;25.125;1.7616234399999997;0.0;8.69151;2631.566;2365.02;2940.88;3456886;3109012;3860449
165;0;0;0;96.0777167337591;56.27180260022481;138.31925879391756;18.41875;2.075;42.55625;25.1125;25.03125;25.16875;193.17405200000002;1.58128;741.712;2672.864;2181.72;3066.25;3512711;2868249;4030148
170;0;0;0;66.58434840987711;60.315846633911136;77.25608617838691;10.88125;0.0;41.10625;25.105;25.08125;25.14375;3.481108;0.0;13.6367;2465.7439999999997;2228.88;2794.17;3240293;2930153;3670155
175;0;0;0;72.2627937349592;55.63669721603394;83.91470889772688;3.49375;0.39375;6.14375;25.151249999999997;25.11875;25.2;3.2504754;0.198057;6.62797;2761.1440000000002;2147.74;3161.53;3627578;2824470;4152559
180;0;0;0;116.01891005304124;68.59029893345303;273.5120880736245;10.4275;0.0;42.7;24.873749999999998;23.95;25.1375;238.50062593999996;0.0;1191.09;2915.32;2558.24;3220.89;3829533;3360625;4229444
185;0;0;0;83.6280902764604;76.64580507665067;95.30504033501084;9.45;2.8125;18.36875;25.135;25.1125;25.18125;7.616781999999999;1.69838;12.192;3367.9740000000006;3183.74;3695.27;4422864;4180545;4853378
190;0;0;0;101.25926035429302;71.57159236230348;196.65322315692902;16.786250000000003;0.0;43.25;25.091250000000002;24.9875;25.14375;213.54051288;0.0;1065.37;2824.82;2150.51;3297.43;3711978;2827521;4329895
195;0;0;0;79.87190660843483;62.318058674152084;101.63862918462509;7.4875;1.9125;11.525;25.10125;25.08125;25.125;7.913762;1.53469;18.0152;3092.662;2206.83;3947.5;4063732;2901852;5186532
200;0;0;0;77.45886235666276;59.48232727408409;90.22124914765358;16.89375;0.0;42.94375;24.18875;20.55;25.11875;73.73149276;0.0;312.584;2550.363;872.635;3411.83;3351464;1145169;4480135
